index,TYPE,YEAR,MONTH,HUNDRED_BLOCK,NEWADDRESS,lat,lon
1154,Commercial Break and Enter,2013,2,18XX E GEORGIA ST,"1800 E GEORGIA ST ,Vancouver, Canada",49.278456,-123.068334
1155,Commercial Break and Enter,2013,2,42XX DUNBAR ST,"4200 DUNBAR ST ,Vancouver, Canada",49.248936,-123.185194
1156,Commercial Break and Enter,2013,2,82XX GRANVILLE ST,"8200 GRANVILLE ST ,Vancouver, Canada",49.211472,-123.140425
1157,Commercial Break and Enter,2013,2,3XX WATER ST,"300 WATER ST ,Vancouver, Canada",49.284366,-123.108909
1158,Commercial Break and Enter,2013,2,1XX E 16TH AVE,"100 E 16TH AVE ,Vancouver, Canada",49.256605,-123.103152
1159,Commercial Break and Enter,2013,2,9XX BUTE ST,"900 BUTE ST ,Vancouver, Canada",49.28463,-123.129093
1160,Commercial Break and Enter,2013,2,3XX POWELL ST,"300 POWELL ST ,Vancouver, Canada",49.28322,-123.097573
1161,Commercial Break and Enter,2013,2,3XX WATER ST,"300 WATER ST ,Vancouver, Canada",49.284366,-123.108909
1162,Commercial Break and Enter,2013,2,11XX E BROADWAY AVE,"1100 E BROADWAY AVE ,Vancouver, Canada",49.262424,-123.081547
1163,Commercial Break and Enter,2013,2,40XX CAMBIE ST,"4000 CAMBIE ST ,Vancouver, Canada",49.250091,-123.115364
1164,Commercial Break and Enter,2013,2,11XX SE MARINE DR,"1100 SE MARINE DR ,Vancouver, Canada",49.211117,-123.084374
1165,Commercial Break and Enter,2013,2,4XX E KENT S AVE,"400 E KENT S AVE ,Vancouver, Canada",49.263566,-123.138572
1166,Commercial Break and Enter,2013,2,13XX KINGSWAY AVE,"1300 KINGSWAY AVE ,Vancouver, Canada",49.336331,-123.15145
1167,Commercial Break and Enter,2013,2,7XX E 20TH AVE,"700 E 20TH AVE ,Vancouver, Canada",49.252794,-123.089972
1168,Commercial Break and Enter,2013,2,12XX SALSBURY DR,"1200 SALSBURY DR ,Vancouver, Canada",49.273934,-123.067604
1169,Commercial Break and Enter,2013,2,1XX E HASTINGS ST,"100 E HASTINGS ST ,Vancouver, Canada",49.281454,-123.102102
1170,Commercial Break and Enter,2013,2,6XX E 8TH AVE,"600 E 8TH AVE ,Vancouver, Canada",49.263436,-123.09095
